类别,尺寸,颜色,目的地,业务类型,国家,价格,数量,折扣
零件,175 oz,白色,法国,批发,加拿大,992,9024,50
零件,216 oz,绿色,德国,批发,澳大利亚,754,703,42
零件,160 oz,白色,英国,批发,加拿大,908,8846,36
零件,272 oz,白色,法国,批发,法国,166,9070,49
零件,92 oz,蓝色,德国,批发,德国,831,5055,6
零件,274 oz,白色,英国,批发,英国,313,4520,30
零件,281 oz,蓝色,美国,批发,美国,616,3911,13
零件,132 oz,红色,澳大利亚,自行车专卖店,澳大利亚,636,4305,89
零件,150 oz,绿色,加拿大,自行车专卖店,加拿大,601,400,72
零件,316 oz,红色,法国,自行车专卖店,法国,680,414,43
零件,159 oz,蓝色,德国,自行车专卖店,德国,707,8900,54
零件,84 oz,蓝色,英国,自行车专卖店,英国,877,1662,29
零件,301 oz,红色,美国,自行车专卖店,美国,706,7611,21
零件,91 oz,蓝色,澳大利亚,经销商,澳大利亚,495,6507,15
零件,125 oz,红色,加拿大,经销商,加拿大,370,3836,16
零件,149 oz,蓝色,法国,经销商,法国,490,8751,99
零件,50 oz,红色,德国,经销商,德国,207,5350,3
零件,299 oz,蓝色,英国,经销商,英国,287,3216,1
零件,110 oz,蓝色,英国,经销商,美国,366,1157,94
零件,282 oz,绿色,美国,批发,澳大利亚,660,3618,58
零件,100 oz,白色,澳大利亚,批发,加拿大,502,8895,99
零件,317 oz,蓝色,加拿大,经销商,澳大利亚,691,1936,62
零件,254 oz,红色,法国,经销商,加拿大,765,3610,37
零件,38 oz,蓝色,德国,经销商,法国,903,8582,50
零件,122 oz,红色,英国,经销商,德国,766,5804,27
零件,129 oz,蓝色,美国,经销商,英国,315,8684,65
零件,196 oz,蓝色,澳大利亚,经销商,美国,246,267,25
零件,322 oz,绿色,加拿大,批发,澳大利亚,619,9788,23
零件,156 oz,白色,法国,批发,加拿大,674,5068,80
零件,212 oz,绿色,德国,批发,澳大利亚,511,4314,53
零件,349 oz,白色,英国,批发,加拿大,706,8906,61
零件,220 oz,白色,美国,批发,法国,338,3630,42
零件,286 oz,蓝色,澳大利亚,批发,德国,34,6256,74
零件,287 oz,白色,加拿大,批发,英国,222,945,89
零件,10 oz,蓝色,法国,批发,美国,962,4718,97
零件,296 oz,红色,德国,自行车专卖店,澳大利亚,954,977,59
零件,168 oz,绿色,英国,自行车专卖店,加拿大,954,6371,73
零件,105 oz,红色,美国,自行车专卖店,法国,366,3357,30
零件,242 oz,蓝色,澳大利亚,自行车专卖店,德国,666,5730,88
零件,327 oz,蓝色,加拿大,自行车专卖店,英国,489,9161,91
零件,276 oz,红色,法国,自行车专卖店,美国,960,1492,16
零件,250 oz,蓝色,德国,经销商,澳大利亚,908,6235,94
零件,76 oz,红色,英国,经销商,加拿大,861,6070,62
零件,45 oz,蓝色,美国,经销商,法国,74,3358,9
零件,137 oz,红色,澳大利亚,经销商,德国,119,3431,61
零件,270 oz,蓝色,加拿大,经销商,英国,663,1399,26
零件,129 oz,蓝色,法国,经销商,美国,32,5544,99
零件,34 oz,绿色,德国,批发,澳大利亚,625,7303,2
零件,65 oz,白色,英国,批发,加拿大,376,879,8
零件,124 oz,蓝色,美国,经销商,澳大利亚,622,4345,71
零件,46 oz,红色,澳大利亚,经销商,加拿大,53,6543,65
零件,174 oz,蓝色,加拿大,经销商,法国,846,3878,60
零件,6 oz,红色,法国,经销商,德国,743,4086,95
零件,131 oz,蓝色,德国,经销商,英国,412,9739,29
零件,186 oz,蓝色,英国,经销商,美国,500,4686,69
零件,173 oz,绿色,美国,批发,澳大利亚,11,521,80
零件,277 oz,白色,澳大利亚,批发,加拿大,624,4697,32
零件,292 oz,绿色,法国,批发,澳大利亚,483,6271,75
零件,140 oz,白色,德国,批发,加拿大,384,9825,32
零件,197 oz,白色,英国,批发,法国,277,8509,57
零件,87 oz,蓝色,美国,批发,德国,614,7424,72
零件,107 oz,白色,澳大利亚,批发,英国,913,7601,74
零件,9 oz,蓝色,加拿大,批发,美国,610,9938,16
零件,200 oz,红色,法国,自行车专卖店,澳大利亚,965,2181,49
零件,284 oz,绿色,德国,自行车专卖店,加拿大,794,9925,37
零件,83 oz,红色,英国,自行车专卖店,法国,632,8874,43
零件,327 oz,蓝色,美国,自行车专卖店,德国,418,7398,1
零件,259 oz,蓝色,澳大利亚,自行车专卖店,英国,680,320,82
零件,126 oz,红色,加拿大,自行车专卖店,美国,44,9688,73
零件,109 oz,蓝色,法国,经销商,澳大利亚,195,3271,93
零件,7 oz,红色,德国,经销商,加拿大,938,5153,25
零件,205 oz,蓝色,英国,经销商,法国,768,2423,69
零件,303 oz,红色,法国,经销商,德国,567,127,51
零件,125 oz,蓝色,德国,经销商,英国,521,8131,46
零件,321 oz,蓝色,英国,经销商,美国,928,8763,16
零件,56 oz,绿色,美国,批发,澳大利亚,949,2054,79
零件,223 oz,白色,澳大利亚,批发,加拿大,113,552,0
零件,299 oz,蓝色,加拿大,经销商,澳大利亚,273,1418,67
零件,86 oz,红色,法国,经销商,加拿大,669,2752,13
零件,96 oz,蓝色,德国,经销商,法国,905,2326,16
零件,324 oz,红色,英国,经销商,德国,996,7181,15
零件,169 oz,蓝色,美国,经销商,英国,265,6498,72
零件,246 oz,蓝色,澳大利亚,经销商,美国,376,8198,4
零件,147 oz,绿色,加拿大,批发,澳大利亚,541,5319,73
零件,142 oz,白色,法国,批发,加拿大,529,6244,72
零件,22 oz,绿色,德国,批发,澳大利亚,363,8279,24
零件,78 oz,白色,英国,批发,加拿大,713,5587,47
零件,343 oz,白色,法国,批发,法国,411,8200,54
零件,346 oz,蓝色,德国,批发,德国,247,9598,2
零件,247 oz,白色,英国,批发,英国,781,3662,63
零件,325 oz,蓝色,美国,批发,美国,175,3539,53
零件,27 oz,红色,澳大利亚,自行车专卖店,澳大利亚,609,2904,19
零件,269 oz,绿色,加拿大,自行车专卖店,加拿大,72,4962,67
零件,71 oz,红色,法国,自行车专卖店,法国,344,7016,67
零件,264 oz,蓝色,德国,自行车专卖店,德国,874,4941,39
零件,177 oz,蓝色,英国,自行车专卖店,英国,578,5169,20
零件,161 oz,红色,美国,自行车专卖店,美国,505,3668,28
零件,312 oz,蓝色,澳大利亚,经销商,澳大利亚,586,5521,3
零件,149 oz,红色,加拿大,经销商,加拿大,950,4597,74
零件,21 oz,蓝色,法国,经销商,法国,302,963,68
零件,2 oz,红色,德国,经销商,德国,648,9159,60
零件,169 oz,蓝色,英国,经销商,英国,487,7781,43
零件,5 oz,蓝色,德国,经销商,美国,262,5294,66
零件,103 oz,绿色,英国,批发,澳大利亚,697,3467,62
零件,217 oz,白色,美国,批发,加拿大,608,523,17
零件,49 oz,蓝色,澳大利亚,经销商,澳大利亚,504,9693,44
零件,68 oz,红色,加拿大,经销商,加拿大,778,3778,97
零件,320 oz,蓝色,法国,经销商,法国,51,8972,60
零件,175 oz,红色,德国,经销商,德国,675,9852,48
零件,344 oz,蓝色,英国,经销商,英国,428,5002,72
零件,91 oz,蓝色,美国,经销商,美国,330,2568,62
零件,38 oz,绿色,澳大利亚,批发,澳大利亚,785,3211,55
零件,94 oz,白色,加拿大,批发,加拿大,243,7902,19
零件,55 oz,绿色,法国,批发,澳大利亚,331,299,85
零件,273 oz,白色,德国,批发,加拿大,768,1347,74
零件,143 oz,白色,英国,批发,法国,319,2080,38
零件,261 oz,蓝色,美国,批发,德国,401,598,90
零件,329 oz,白色,澳大利亚,批发,英国,576,412,28
零件,273 oz,蓝色,加拿大,批发,美国,950,2507,53
零件,206 oz,红色,法国,自行车专卖店,澳大利亚,381,1925,35
零件,347 oz,绿色,德国,自行车专卖店,加拿大,79,4682,45
零件,124 oz,红色,英国,自行车专卖店,法国,357,583,9
零件,117 oz,蓝色,美国,自行车专卖店,德国,309,9357,52
零件,44 oz,蓝色,澳大利亚,自行车专卖店,英国,83,9559,67
零件,172 oz,红色,加拿大,自行车专卖店,美国,77,7107,39
零件,176 oz,蓝色,法国,经销商,澳大利亚,152,7686,38
零件,322 oz,红色,德国,经销商,加拿大,46,9908,62
零件,222 oz,蓝色,英国,经销商,法国,104,1092,49
零件,194 oz,红色,美国,经销商,德国,86,2975,87
零件,215 oz,蓝色,澳大利亚,经销商,英国,743,8945,40
零件,146 oz,蓝色,加拿大,经销商,美国,666,6199,14
零件,272 oz,绿色,法国,批发,澳大利亚,376,9751,76
零件,101 oz,白色,德国,批发,加拿大,391,4799,51
零件,130 oz,蓝色,英国,经销商,澳大利亚,636,650,32
零件,188 oz,红色,美国,经销商,加拿大,656,5629,53
零件,76 oz,蓝色,澳大利亚,经销商,法国,229,7565,87
零件,141 oz,红色,加拿大,经销商,德国,413,6320,59
零件,350 oz,蓝色,法国,经销商,英国,802,5251,53
零件,81 oz,蓝色,德国,经销商,美国,337,1825,36
零件,349 oz,绿色,英国,批发,澳大利亚,631,1818,7
零件,182 oz,白色,美国,批发,加拿大,482,2118,32
零件,276 oz,绿色,澳大利亚,批发,澳大利亚,717,124,8
零件,77 oz,白色,加拿大,批发,加拿大,405,980,18
零件,228 oz,白色,法国,批发,法国,108,6474,54
零件,49 oz,蓝色,德国,批发,德国,190,3303,72
零件,187 oz,白色,英国,批发,英国,328,9574,94
零件,322 oz,蓝色,美国,批发,美国,841,4661,44
零件,69 oz,红色,澳大利亚,自行车专卖店,澳大利亚,847,4541,78
零件,194 oz,绿色,加拿大,自行车专卖店,加拿大,843,6201,28
零件,238 oz,红色,法国,自行车专卖店,法国,958,1885,81
零件,241 oz,蓝色,德国,自行车专卖店,德国,496,2066,32
零件,4 oz,蓝色,英国,自行车专卖店,英国,504,7668,98
零件,135 oz,红色,美国,自行车专卖店,美国,40,8296,14
零件,162 oz,蓝色,澳大利亚,经销商,澳大利亚,777,6754,88
零件,244 oz,红色,加拿大,经销商,加拿大,457,5011,86
零件,322 oz,蓝色,法国,经销商,法国,532,3745,99
零件,110 oz,红色,德国,经销商,德国,260,8153,87
零件,196 oz,蓝色,英国,经销商,英国,329,8625,50
零件,234 oz,蓝色,美国,经销商,美国,364,762,88
零件,26 oz,绿色,澳大利亚,批发,澳大利亚,961,5083,19
零件,256 oz,白色,加拿大,批发,加拿大,740,6461,85
零件,263 oz,蓝色,澳大利亚,经销商,澳大利亚,393,5756,26
零件,269 oz,红色,加拿大,经销商,加拿大,499,2359,11
零件,324 oz,蓝色,法国,经销商,法国,412,4512,78
零件,15 oz,红色,德国,经销商,德国,797,4892,31
零件,306 oz,蓝色,英国,经销商,英国,730,7342,72
零件,91 oz,蓝色,美国,经销商,美国,578,6783,48
零件,58 oz,绿色,澳大利亚,批发,澳大利亚,718,8154,73
零件,59 oz,白色,加拿大,批发,加拿大,807,2875,11
零件,306 oz,绿色,澳大利亚,批发,澳大利亚,598,4782,31
零件,132 oz,白色,加拿大,批发,加拿大,412,440,24
零件,147 oz,白色,法国,批发,法国,407,9706,32
零件,231 oz,蓝色,德国,批发,德国,480,3599,1
零件,304 oz,白色,英国,批发,英国,755,7251,92
零件,76 oz,蓝色,美国,批发,美国,96,8862,33
汽车,4 oz,绿色,澳大利亚,自行车专卖店,澳大利亚,28832,20,30
汽车,245 oz,白色,加拿大,自行车专卖店,加拿大,25115,38,5
汽车,33 oz,绿色,法国,自行车专卖店,法国,44932,17,70
汽车,54 oz,红色,德国,自行车专卖店,德国,54071,11,61
汽车,35 oz,蓝色,英国,自行车专卖店,英国,59030,49,55
汽车,114 oz,白色,美国,自行车专卖店,美国,46757,40,12
汽车,97 oz,红色,澳大利亚,经销商,澳大利亚,43134,32,41
汽车,308 oz,绿色,加拿大,经销商,加拿大,9403,23,95
汽车,168 oz,红色,法国,经销商,法国,20437,10,49
汽车,79 oz,蓝色,德国,经销商,德国,7726,38,27
汽车,50 oz,白色,英国,经销商,英国,36101,17,83
汽车,34 oz,白色,美国,经销商,美国,2280,24,69
汽车,112 oz,红色,澳大利亚,批发,澳大利亚,36395,33,30
汽车,136 oz,蓝色,加拿大,批发,加拿大,38544,7,85
汽车,293 oz,白色,澳大利亚,批发,法国,51754,9,13
汽车,62 oz,红色,加拿大,批发,德国,35354,1,95
汽车,171 oz,白色,法国,批发,英国,51742,34,39
汽车,8 oz,白色,德国,批发,美国,15310,38,49
汽车,159 oz,绿色,英国,自行车专卖店,澳大利亚,4550,16,54
汽车,121 oz,白色,美国,自行车专卖店,加拿大,18582,58,59
汽车,18 oz,绿色,澳大利亚,自行车专卖店,法国,47120,42,100
汽车,276 oz,红色,加拿大,自行车专卖店,德国,15100,36,53
汽车,52 oz,蓝色,澳大利亚,自行车专卖店,英国,6606,37,55
汽车,295 oz,白色,加拿大,自行车专卖店,美国,10684,43,65
汽车,106 oz,红色,法国,经销商,澳大利亚,20976,55,33
汽车,144 oz,绿色,德国,经销商,加拿大,34487,40,60
汽车,284 oz,红色,英国,经销商,法国,33428,52,91
汽车,108 oz,蓝色,美国,经销商,德国,23236,45,86
汽车,62 oz,白色,澳大利亚,经销商,英国,8303,10,91
汽车,120 oz,白色,加拿大,经销商,美国,38552,15,6
汽车,156 oz,红色,法国,批发,澳大利亚,9718,18,76
汽车,261 oz,蓝色,德国,批发,加拿大,39460,5,39
汽车,339 oz,白色,英国,批发,法国,22319,58,83
汽车,339 oz,红色,美国,批发,德国,37048,49,59
汽车,325 oz,白色,澳大利亚,批发,英国,36241,59,43
汽车,322 oz,白色,加拿大,批发,美国,13270,42,31
汽车,326 oz,绿色,法国,自行车专卖店,澳大利亚,9065,2,57
汽车,67 oz,白色,德国,自行车专卖店,加拿大,7560,28,9
汽车,48 oz,绿色,英国,自行车专卖店,法国,32950,35,14
汽车,181 oz,红色,美国,自行车专卖店,德国,47837,16,35
汽车,211 oz,蓝色,澳大利亚,自行车专卖店,英国,15195,19,24
汽车,192 oz,白色,加拿大,自行车专卖店,美国,34759,37,64
汽车,256 oz,红色,澳大利亚,经销商,澳大利亚,21195,1,30
汽车,48 oz,绿色,加拿大,经销商,加拿大,623,55,19
汽车,348 oz,红色,法国,经销商,法国,27052,41,91
汽车,158 oz,蓝色,德国,经销商,德国,37983,58,74
汽车,277 oz,白色,英国,经销商,英国,22172,1,44
汽车,257 oz,白色,美国,经销商,美国,21879,36,10
汽车,115 oz,红色,澳大利亚,批发,澳大利亚,40065,45,0
汽车,338 oz,蓝色,加拿大,批发,加拿大,10116,52,42
汽车,87 oz,白色,澳大利亚,批发,法国,43266,30,91
汽车,287 oz,红色,加拿大,批发,德国,56999,58,58
汽车,240 oz,白色,法国,批发,英国,31754,55,79
汽车,219 oz,白色,德国,批发,美国,29428,42,36
零件,75 oz,蓝色,法国,经销商,英国,999,6023,28
零件,247 oz,蓝色,德国,经销商,美国,168,1863,75
零件,97 oz,绿色,英国,批发,澳大利亚,892,3917,96
零件,297 oz,白色,美国,批发,加拿大,418,3832,50
零件,350 oz,绿色,澳大利亚,批发,澳大利亚,459,9624,47
零件,201 oz,白色,加拿大,批发,加拿大,757,1642,66
零件,89 oz,白色,法国,批发,法国,225,2104,0
零件,4 oz,蓝色,德国,批发,德国,890,1531,84
零件,279 oz,白色,英国,批发,英国,662,1698,61
零件,22 oz,蓝色,美国,批发,美国,505,1213,46
零件,238 oz,红色,澳大利亚,自行车专卖店,澳大利亚,996,6706,70
零件,308 oz,绿色,加拿大,自行车专卖店,加拿大,245,2272,21
零件,346 oz,红色,法国,自行车专卖店,法国,388,2326,36
零件,19 oz,蓝色,德国,自行车专卖店,德国,632,3212,95
零件,107 oz,蓝色,英国,自行车专卖店,英国,576,4015,64
零件,170 oz,红色,美国,自行车专卖店,美国,783,9245,25
零件,173 oz,蓝色,澳大利亚,经销商,澳大利亚,30,846,36
零件,92 oz,红色,加拿大,经销商,加拿大,102,2788,13
零件,60 oz,蓝色,法国,经销商,法国,611,5158,4
零件,225 oz,红色,德国,经销商,德国,241,2085,21
零件,282 oz,蓝色,英国,经销商,英国,490,7373,28
零件,315 oz,蓝色,美国,经销商,美国,646,4248,19
零件,62 oz,绿色,澳大利亚,批发,澳大利亚,55,5314,39
零件,235 oz,白色,加拿大,批发,加拿大,33,1713,46
零件,127 oz,蓝色,澳大利亚,经销商,澳大利亚,473,6585,49
零件,328 oz,红色,加拿大,经销商,加拿大,322,1877,62
零件,271 oz,蓝色,法国,经销商,法国,235,6409,93
零件,324 oz,红色,德国,经销商,德国,683,9767,17
零件,43 oz,蓝色,英国,经销商,英国,657,1580,47
零件,160 oz,蓝色,美国,经销商,美国,774,4956,2
零件,63 oz,绿色,澳大利亚,批发,澳大利亚,595,2661,99
零件,163 oz,白色,加拿大,批发,加拿大,564,9512,25
零件,182 oz,绿色,澳大利亚,批发,澳大利亚,365,5654,85
零件,18 oz,白色,加拿大,批发,加拿大,273,1169,23
零件,297 oz,白色,法国,批发,法国,462,8007,62
零件,121 oz,蓝色,德国,批发,德国,635,6827,7
零件,208 oz,白色,英国,批发,英国,53,3817,22
零件,71 oz,蓝色,美国,批发,美国,362,4733,40
汽车,194 oz,绿色,澳大利亚,自行车专卖店,澳大利亚,8684,39,100
汽车,145 oz,白色,加拿大,自行车专卖店,加拿大,19963,56,34
汽车,115 oz,绿色,法国,自行车专卖店,法国,19938,47,33
汽车,33 oz,红色,德国,自行车专卖店,德国,6088,58,76
汽车,42 oz,蓝色,英国,自行车专卖店,英国,25832,3,94
汽车,252 oz,白色,美国,自行车专卖店,美国,25706,15,98
汽车,221 oz,红色,澳大利亚,经销商,澳大利亚,36145,58,97
汽车,91 oz,绿色,加拿大,经销商,加拿大,46466,52,22
汽车,106 oz,红色,法国,经销商,法国,16873,47,38
汽车,124 oz,蓝色,德国,经销商,德国,1586,3,68
汽车,71 oz,白色,英国,经销商,英国,8947,44,72
汽车,314 oz,白色,美国,经销商,美国,43687,46,46
汽车,329 oz,红色,澳大利亚,批发,澳大利亚,25947,36,17
汽车,255 oz,蓝色,加拿大,批发,加拿大,23972,36,49
汽车,241 oz,白色,澳大利亚,批发,法国,5717,23,96
汽车,188 oz,红色,加拿大,批发,德国,39056,7,7
零件,307 oz,蓝色,法国,经销商,英国,660,5623,83
零件,185 oz,蓝色,德国,经销商,美国,176,1401,35
零件,108 oz,绿色,英国,批发,澳大利亚,994,9882,1
零件,249 oz,白色,美国,批发,加拿大,962,3258,89
零件,145 oz,绿色,澳大利亚,批发,澳大利亚,483,6517,86
零件,58 oz,白色,加拿大,批发,加拿大,146,9510,93
零件,340 oz,白色,法国,批发,法国,270,182,42
零件,300 oz,蓝色,德国,批发,德国,215,5292,23
零件,349 oz,白色,英国,批发,英国,859,6227,74
零件,240 oz,蓝色,美国,批发,美国,703,539,18
零件,285 oz,红色,澳大利亚,自行车专卖店,澳大利亚,172,1409,67
零件,169 oz,绿色,加拿大,自行车专卖店,加拿大,776,4987,4
零件,79 oz,红色,法国,自行车专卖店,法国,195,1834,19
零件,220 oz,蓝色,德国,自行车专卖店,德国,562,7903,0
零件,178 oz,蓝色,英国,自行车专卖店,英国,469,8694,8
零件,194 oz,红色,美国,自行车专卖店,美国,318,3636,68
零件,15 oz,蓝色,澳大利亚,经销商,澳大利亚,941,750,25
零件,147 oz,红色,加拿大,经销商,加拿大,220,8586,36
零件,115 oz,蓝色,法国,经销商,法国,58,8024,78
零件,136 oz,红色,德国,经销商,德国,48,8552,59
零件,198 oz,蓝色,英国,经销商,英国,700,3292,80
零件,84 oz,蓝色,美国,经销商,美国,594,4517,17
零件,236 oz,绿色,澳大利亚,批发,澳大利亚,61,6171,31
零件,311 oz,白色,加拿大,批发,加拿大,560,4815,59
零件,129 oz,蓝色,澳大利亚,经销商,澳大利亚,958,4967,23
零件,234 oz,红色,加拿大,经销商,加拿大,206,7635,47
零件,238 oz,蓝色,法国,经销商,法国,40,2057,89
零件,317 oz,红色,德国,经销商,德国,208,7764,19
零件,139 oz,蓝色,英国,经销商,英国,917,4945,54
零件,60 oz,蓝色,美国,经销商,美国,226,7058,82
零件,162 oz,绿色,澳大利亚,批发,澳大利亚,995,6785,59
零件,137 oz,白色,加拿大,批发,加拿大,14,5222,15
零件,88 oz,绿色,澳大利亚,批发,澳大利亚,347,9027,78
零件,81 oz,白色,加拿大,批发,加拿大,306,917,84
零件,287 oz,白色,法国,批发,法国,308,3216,52
零件,177 oz,蓝色,德国,批发,德国,194,1274,88
零件,136 oz,白色,英国,批发,英国,746,8268,46
零件,178 oz,蓝色,美国,批发,美国,137,6245,79
汽车,206 oz,绿色,澳大利亚,自行车专卖店,澳大利亚,17741,58,42
汽车,293 oz,白色,加拿大,自行车专卖店,加拿大,15501,13,14
汽车,293 oz,绿色,法国,自行车专卖店,法国,57051,8,84
汽车,271 oz,红色,德国,自行车专卖店,德国,10713,16,33
汽车,68 oz,蓝色,英国,自行车专卖店,英国,30166,59,7
汽车,53 oz,白色,美国,自行车专卖店,美国,54286,36,22
汽车,200 oz,红色,澳大利亚,经销商,澳大利亚,6095,10,88
汽车,332 oz,绿色,加拿大,经销商,加拿大,11624,43,47
汽车,30 oz,红色,法国,经销商,法国,12866,60,27
汽车,15 oz,蓝色,德国,经销商,德国,26637,20,34
汽车,340 oz,白色,英国,经销商,英国,14959,41,14
汽车,125 oz,白色,美国,经销商,美国,30873,15,78
汽车,121 oz,红色,澳大利亚,批发,澳大利亚,59783,13,66
汽车,321 oz,蓝色,加拿大,批发,加拿大,57039,27,14
汽车,167 oz,白色,澳大利亚,批发,法国,33260,39,44
汽车,110 oz,红色,加拿大,批发,德国,3745,22,68
零件,308 oz,蓝色,法国,经销商,英国,258,7979,85
零件,334 oz,蓝色,德国,经销商,美国,878,5115,30
零件,124 oz,绿色,英国,批发,澳大利亚,534,8651,90
零件,48 oz,白色,美国,批发,加拿大,716,7552,89
零件,206 oz,绿色,澳大利亚,批发,澳大利亚,693,8414,91
零件,78 oz,白色,加拿大,批发,加拿大,753,6339,62
零件,350 oz,白色,法国,批发,法国,356,1761,2
零件,52 oz,蓝色,德国,批发,德国,124,4673,36
零件,134 oz,白色,英国,批发,英国,602,4038,41
零件,224 oz,蓝色,美国,批发,美国,662,3496,93
零件,157 oz,红色,澳大利亚,自行车专卖店,澳大利亚,110,587,7
零件,328 oz,绿色,加拿大,自行车专卖店,加拿大,520,8535,84
零件,328 oz,红色,法国,自行车专卖店,法国,177,1208,11
零件,113 oz,蓝色,德国,自行车专卖店,德国,428,7126,62
零件,307 oz,蓝色,英国,自行车专卖店,英国,264,7877,13
零件,123 oz,红色,美国,自行车专卖店,美国,395,1086,90
零件,253 oz,蓝色,澳大利亚,经销商,澳大利亚,485,9746,55
零件,28 oz,红色,加拿大,经销商,加拿大,925,1416,45
零件,2 oz,蓝色,法国,经销商,法国,189,3088,3
零件,312 oz,红色,德国,经销商,德国,459,8394,41
零件,202 oz,蓝色,英国,经销商,英国,745,9252,57
零件,27 oz,蓝色,美国,经销商,美国,493,6918,4
零件,312 oz,绿色,澳大利亚,批发,澳大利亚,376,9196,28
零件,75 oz,白色,加拿大,批发,加拿大,332,5130,9
零件,251 oz,蓝色,澳大利亚,经销商,澳大利亚,777,6356,58
零件,139 oz,红色,加拿大,经销商,加拿大,919,3621,85
零件,97 oz,蓝色,法国,经销商,法国,536,214,58
零件,155 oz,红色,德国,经销商,德国,152,9581,98
零件,29 oz,蓝色,英国,经销商,英国,666,2549,89
零件,250 oz,蓝色,美国,经销商,美国,336,7845,11
零件,111 oz,绿色,澳大利亚,批发,澳大利亚,305,5163,12
零件,84 oz,白色,加拿大,批发,加拿大,738,8963,59
零件,268 oz,绿色,澳大利亚,批发,澳大利亚,687,1763,64
零件,160 oz,白色,加拿大,批发,加拿大,686,9857,52
零件,257 oz,白色,法国,批发,法国,671,2035,55
零件,58 oz,蓝色,德国,批发,德国,136,5437,18
零件,24 oz,白色,英国,批发,英国,701,1860,42
零件,237 oz,蓝色,美国,批发,美国,32,2471,76
汽车,257 oz,绿色,澳大利亚,自行车专卖店,澳大利亚,56947,49,90
汽车,147 oz,白色,加拿大,自行车专卖店,加拿大,55342,53,56
汽车,100 oz,绿色,法国,自行车专卖店,法国,22784,36,12
汽车,128 oz,红色,德国,自行车专卖店,德国,19722,38,6
汽车,90 oz,蓝色,英国,自行车专卖店,英国,6743,28,49
汽车,257 oz,白色,美国,自行车专卖店,美国,18673,2,38
汽车,274 oz,红色,澳大利亚,经销商,澳大利亚,49650,17,24
汽车,328 oz,绿色,加拿大,经销商,加拿大,53599,59,97
汽车,112 oz,红色,法国,经销商,法国,36460,58,100
汽车,61 oz,蓝色,德国,经销商,德国,57571,37,56
汽车,323 oz,白色,英国,经销商,英国,47317,45,83
汽车,158 oz,白色,美国,经销商,美国,12166,19,30
汽车,175 oz,红色,澳大利亚,批发,澳大利亚,2560,18,72
汽车,124 oz,蓝色,加拿大,批发,加拿大,19974,36,11
汽车,172 oz,白色,澳大利亚,批发,法国,59455,4,12
汽车,307 oz,红色,加拿大,批发,德国,4684,11,74
零件,17 oz,蓝色,法国,经销商,英国,347,8680,39
零件,181 oz,蓝色,德国,经销商,美国,611,6518,24
零件,41 oz,绿色,英国,批发,澳大利亚,411,8165,77
零件,203 oz,白色,美国,批发,加拿大,34,5412,53
零件,89 oz,绿色,澳大利亚,批发,澳大利亚,677,1707,76
零件,197 oz,白色,加拿大,批发,加拿大,760,2492,81
零件,79 oz,白色,法国,批发,法国,336,758,22
零件,170 oz,蓝色,德国,批发,德国,395,4268,12
零件,286 oz,白色,英国,批发,英国,34,6125,51
零件,16 oz,蓝色,美国,批发,美国,659,393,66
零件,72 oz,红色,澳大利亚,自行车专卖店,澳大利亚,165,9383,22
零件,102 oz,绿色,加拿大,自行车专卖店,加拿大,836,9514,19
零件,7 oz,红色,法国,自行车专卖店,法国,625,6753,3
零件,173 oz,蓝色,德国,自行车专卖店,德国,86,8137,92
零件,229 oz,蓝色,英国,自行车专卖店,英国,153,6080,69
零件,306 oz,红色,美国,自行车专卖店,美国,269,4198,97
零件,130 oz,蓝色,澳大利亚,经销商,澳大利亚,519,4722,42
零件,67 oz,红色,加拿大,经销商,加拿大,925,5287,73
零件,190 oz,蓝色,法国,经销商,法国,741,3804,74
零件,325 oz,红色,德国,经销商,德国,928,283,26
零件,302 oz,蓝色,英国,经销商,英国,686,6027,64
零件,12 oz,蓝色,美国,经销商,美国,628,9886,78
零件,336 oz,绿色,澳大利亚,批发,澳大利亚,16,9439,60
零件,63 oz,白色,加拿大,批发,加拿大,105,4911,74
零件,166 oz,蓝色,澳大利亚,经销商,澳大利亚,636,9372,18
零件,312 oz,红色,加拿大,经销商,加拿大,416,1643,38
零件,233 oz,蓝色,法国,经销商,法国,447,6737,7
零件,171 oz,红色,德国,经销商,德国,76,1419,28
零件,312 oz,蓝色,英国,经销商,英国,706,1646,76
零件,60 oz,蓝色,美国,经销商,美国,205,5725,41
零件,43 oz,绿色,澳大利亚,批发,澳大利亚,139,3667,23
零件,283 oz,白色,加拿大,批发,加拿大,244,9637,34
零件,274 oz,绿色,澳大利亚,批发,澳大利亚,355,6069,18
零件,127 oz,白色,加拿大,批发,加拿大,956,7240,21
零件,253 oz,白色,法国,批发,法国,519,3130,69
零件,64 oz,蓝色,德国,批发,德国,16,1339,56
零件,69 oz,白色,英国,批发,英国,864,5127,89
零件,7 oz,蓝色,美国,批发,美国,579,5947,26
汽车,146 oz,绿色,澳大利亚,自行车专卖店,澳大利亚,43924,23,40
汽车,84 oz,白色,加拿大,自行车专卖店,加拿大,41952,43,36
汽车,131 oz,绿色,法国,自行车专卖店,法国,5826,31,11
汽车,190 oz,红色,德国,自行车专卖店,德国,59747,59,57
汽车,248 oz,蓝色,英国,自行车专卖店,英国,24784,23,86
汽车,73 oz,白色,美国,自行车专卖店,美国,16775,19,52
汽车,343 oz,红色,澳大利亚,经销商,澳大利亚,42975,26,62
汽车,346 oz,绿色,加拿大,经销商,加拿大,25316,28,38
